component,occurrences,example_source_paths,category,target_mapping,status,risk,batchable,decision_refs,notes
Enable,1,docs/cloud-transcoder/get-started/enable-service.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
EnableNcs3,1,docs/convoai/webhook/enable-ncs.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
EnableRTM,1,docs/rtm2/get-started/enable-service.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Environment,1,docs/teleoperation/get-started/run-example.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
GetLockResult,1,shared/rtm2/_lock.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
GetStateResult,1,shared/rtm2/_presence.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Iospreq,1,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
JoinResult,1,shared/rtm2/_channel.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
JoinTopicResult,1,shared/rtm2/_topic.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
LeaveResult,1,shared/rtm2/_channel.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
LeaveTopicResult,1,shared/rtm2/_topic.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
LoginResult,1,shared/rtm2/_configuration.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
LogoutResult,1,shared/rtm2/_configuration.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Next,1,docs/cloud-transcoder/user-guides/http-auth.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
OnLaunchCancel,1,docs-api-reference/meeting/client-api.android.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Pcw,1,shared/cloud-recording/quota-information.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
PublishResult,1,shared/rtm2/_message.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
PublishTopicMessageResult,1,shared/rtm2/_topic.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Qps,1,shared/cloud-recording/quota-information.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Quota,1,docs/cloud-recording/quota.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
ReleaseLockResult,1,shared/rtm2/_lock.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
RemoveLockResult,1,shared/rtm2/_lock.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
RemoveStateResult,1,shared/rtm2/_presence.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
RenewTokenResult,1,shared/rtm2/_token.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Repo,1,docs/one-to-one-live/rtm/resources.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
RevokeLockResult,1,shared/rtm2/_lock.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Scene,1,docs/whiteboard/whiteboard-sdk/overview/concepts.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
SetLockResult,1,shared/rtm2/_lock.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
SetStateResult,1,shared/rtm2/_presence.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Show,1,docs/shared/showroom/audio-scenario.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Stream,1,shared/cloud-recording/quota-information.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
SubscribeResult,1,shared/rtm2/_channel.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
SubscribeTopicResult,1,shared/rtm2/_topic.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Template,1,docs/dummy-product/test/components.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Test,1,docs/dummy-product/test/toc.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
UnsubscribeResult,1,shared/rtm2/_channel.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
UnsubscribeTopicResult,1,shared/rtm2/_topic.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
V1,1,docs/shared/showroom/audio-scenario.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Webpreq,1,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
WhereNowResult,1,shared/rtm2/_presence.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
WhoNowResult,1,shared/rtm2/_presence.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
